Season,Team,#,Link,PLAYER_ID,Player Name,Position,Age,Appearences,Played Games,Goals,Assists,Yellow,Second Yellow,Red,Come From Bench,Substituted,PPG,Minute Played,TEAM_ID,League
2019-20,Sport Club Corinthians Paulista,22,https://www.transfermarkt.co.uk/matheus-donelli/leistungsdatendetails/spieler/708723,708723,Matheus Donelli,Goalkeeper,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,199,BRA1
2019-20,Sport Club Corinthians Paulista,12,https://www.transfermarkt.co.uk/cassio/leistungsdatendetails/spieler/50144,50144,Cássio,Goalkeeper,32.0,55.0,55.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,1.31,,199,BRA1
2019-20,Sport Club Corinthians Paulista,27,https://www.transfermarkt.co.uk/walter/leistungsdatendetails/spieler/269860,269860,Walter,Goalkeeper,31.0,57.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.50,,199,BRA1
2019-20,Sport Club Corinthians Paulista,-,https://www.transfermarkt.co.uk/filipe-santos/leistungsdatendetails/spieler/403346,403346,Filipe Santos,Goalkeeper,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,199,BRA1
2019-20,Sport Club Corinthians Paulista,40,https://www.transfermarkt.co.uk/guilherme-vicentini/leistungsdatendetails/spieler/748527,748527,Guilherme Vicentini,Goalkeeper,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,199,BRA1
2019-20,Sport Club Corinthians Paulista,-,https://www.transfermarkt.co.uk/carlos-augusto/leistungsdatendetails/spieler/585982,585982,Carlos Augusto,Left-Back,20.0,14.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.88,,199,BRA1
2019-20,Sport Club Corinthians Paulista,6,https://www.transfermarkt.co.uk/lucas-piton/leistungsdatendetails/spieler/670201,670201,Lucas Piton,Left-Back,18.0,51.0,32.0,0.0,3.0,2.0,0.0,0.0,9.0,6.0,1.31,,199,BRA1
2019-20,Sport Club Corinthians Paulista,14,https://www.transfermarkt.co.uk/bruno-mendez/leistungsdatendetails/spieler/552912,552912,Bruno Méndez,Centre-Back,19.0,55.0,18.0,0.0,0.0,4.0,0.0,1.0,3.0,1.0,1.39,,199,BRA1
2019-20,Sport Club Corinthians Paulista,-,https://www.transfermarkt.co.uk/pedro-henrique/leistungsdatendetails/spieler/329720,329720,Pedro Henrique,Centre-Back,23.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.17,,199,BRA1
2019-20,Sport Club Corinthians Paulista,-,https://www.transfermarkt.co.uk/raul-gustavo/leistungsdatendetails/spieler/792345,792345,Raul Gustavo,Centre-Back,20.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"0,00",,199,BRA1
2019-20,Sport Club Corinthians Paulista,3,https://www.transfermarkt.co.uk/jemerson/leistungsdatendetails/spieler/258254,258254,Jemerson,Centre-Back,26.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.57,,199,BRA1
2019-20,Sport Club Corinthians Paulista,13,https://www.transfermarkt.co.uk/leo-santos/leistungsdatendetails/spieler/351894,351894,Léo Santos,Centre-Back,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,199,BRA1
2019-20,Sport Club Corinthians Paulista,25,https://www.transfermarkt.co.uk/marllon/leistungsdatendetails/spieler/166032,166032,Marllon,Centre-Back,27.0,26.0,13.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.54,,199,BRA1
2019-20,Sport Club Corinthians Paulista,-,https://www.transfermarkt.co.uk/igor-formiga/leistungsdatendetails/spieler/688690,688690,Igor Formiga,Right-Back,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,199,BRA1
2019-20,Sport Club Corinthians Paulista,23,https://www.transfermarkt.co.uk/fagner/leistungsdatendetails/spieler/47592,47592,Fagner,Right-Back,30.0,52.0,52.0,3.0,9.0,11.0,0.0,1.0,1.0,3.0,1.46,,199,BRA1
2019-20,Sport Club Corinthians Paulista,2,https://www.transfermarkt.co.uk/michel-macedo/leistungsdatendetails/spieler/77262,77262,Michel Macedo,Right-Back,29.0,48.0,10.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.60,,199,BRA1
2019-20,Sport Club Corinthians Paulista,16,https://www.transfermarkt.co.uk/sidcley/leistungsdatendetails/spieler/330060,330060,Sidcley,Left-Back,26.0,35.0,19.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,1.37,,199,BRA1
2019-20,Sport Club Corinthians Paulista,-,https://www.transfermarkt.co.uk/ronald-carvalho/leistungsdatendetails/spieler/812937,812937,Ronald Carvalho,Centre-Back,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,199,BRA1
