Season,Team,#,Link,PLAYER_ID,Player Name,Position,Age,Appearences,Played Games,Goals,Assists,Yellow,Second Yellow,Red,Come From Bench,Substituted,PPG,Minute Played,TEAM_ID,League
2019-20,FC Basel 1893,1,https://www.transfermarkt.co.uk/jonas-omlin/leistungsdatendetails/spieler/247915,247915,Jonas Omlin,Goalkeeper,25.0,44.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.84,,26,C1
2019-20,FC Basel 1893,13,https://www.transfermarkt.co.uk/djordje-nikolic/leistungsdatendetails/spieler/274344,274344,Djordje Nikolic,Goalkeeper,22.0,57.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.93,,26,C1
2019-20,FC Basel 1893,-,https://www.transfermarkt.co.uk/nils-de-mol/leistungsdatendetails/spieler/499195,499195,Nils de Mol,Goalkeeper,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,26,C1
2019-20,FC Basel 1893,44,https://www.transfermarkt.co.uk/jozef-pukaj/leistungsdatendetails/spieler/421809,421809,Jozef Pukaj,Goalkeeper,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,26,C1
2019-20,FC Basel 1893,6,https://www.transfermarkt.co.uk/omar-alderete/leistungsdatendetails/spieler/353032,353032,Omar Alderete,Centre-Back,22.0,49.0,48.0,4.0,1.0,13.0,2.0,1.0,0.0,3.0,1.85,,26,C1
2019-20,FC Basel 1893,4,https://www.transfermarkt.co.uk/eray-comert/leistungsdatendetails/spieler/298583,298583,Eray Cömert,Centre-Back,21.0,50.0,50.0,3.0,1.0,10.0,1.0,0.0,2.0,5.0,1.92,,26,C1
2019-20,FC Basel 1893,5,https://www.transfermarkt.co.uk/silvan-widmer/leistungsdatendetails/spieler/168989,168989,Silvan Widmer,Right-Back,26.0,50.0,50.0,6.0,8.0,6.0,0.0,0.0,0.0,1.0,1.82,,26,C1
2019-20,FC Basel 1893,21,https://www.transfermarkt.co.uk/jasper-van-der-werff/leistungsdatendetails/spieler/322519,322519,Jasper van der Werff,Centre-Back,20.0,21.0,20.0,0.0,0.0,2.0,0.0,0.0,7.0,2.0,1.70,,26,C1
2019-20,FC Basel 1893,15,https://www.transfermarkt.co.uk/blas-riveros/leistungsdatendetails/spieler/401732,401732,Blas Riveros,Left-Back,21.0,48.0,29.0,0.0,3.0,2.0,0.0,0.0,9.0,5.0,1.97,,26,C1
2019-20,FC Basel 1893,28,https://www.transfermarkt.co.uk/raoul-petretta/leistungsdatendetails/spieler/243878,243878,Raoul Petretta,Left-Back,22.0,46.0,44.0,2.0,4.0,6.0,0.0,1.0,3.0,13.0,1.89,,26,C1
2019-20,FC Basel 1893,-,https://www.transfermarkt.co.uk/louis-lurvink/leistungsdatendetails/spieler/499324,499324,Louis Lurvink,Centre-Back,17.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.00,,26,C1
2019-20,FC Basel 1893,36,https://www.transfermarkt.co.uk/emil-bergstrom/leistungsdatendetails/spieler/142208,142208,Emil Bergström,Centre-Back,26.0,31.0,11.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.91,,26,C1
2019-20,FC Basel 1893,-,https://www.transfermarkt.co.uk/konstantinos-dimitriou/leistungsdatendetails/spieler/348522,348522,Konstantinos Dimitriou,Centre-Back,20.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.00,,26,C1
2019-20,FC Basel 1893,-,https://www.transfermarkt.co.uk/yves-kaiser/leistungsdatendetails/spieler/294595,294595,Yves Kaiser,Centre-Back,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,26,C1
2019-20,FC Basel 1893,-,https://www.transfermarkt.co.uk/elis-isufi/leistungsdatendetails/spieler/346889,346889,Elis Isufi,Centre-Back,19.0,15.0,9.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.22,,26,C1
2019-20,FC Basel 1893,17,https://www.transfermarkt.co.uk/eric-ramires/leistungsdatendetails/spieler/614328,614328,Eric Ramires,Central Midfield,18.0,17.0,11.0,0.0,0.0,2.0,0.0,0.0,9.0,2.0,2.00,,26,C1
2019-20,FC Basel 1893,-,https://www.transfermarkt.co.uk/mihailo-stevanovic/leistungsdatendetails/spieler/499330,499330,Mihailo Stevanovic,Central Midfield,17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.00,,26,C1
2019-20,FC Basel 1893,-,https://www.transfermarkt.co.uk/eder-balanta/leistungsdatendetails/spieler/265127,265127,Éder Balanta,Defensive Midfield,26.0,8.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.88,,26,C1
