Season,Team,#,Link,PLAYER_ID,Player Name,Position,Age,Appearences,Played Games,Goals,Assists,Yellow,Second Yellow,Red,Come From Bench,Substituted,PPG,Minute Played,TEAM_ID,League
2019-20,FC Copenhagen,21,https://www.transfermarkt.co.uk/karl-johan-johnsson/leistungsdatendetails/spieler/112822,112822,Karl-Johan Johnsson,Goalkeeper,29.0,56.0,42.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.79,,190,DK1
2019-20,FC Copenhagen,31,https://www.transfermarkt.co.uk/frederik-ibsen/leistungsdatendetails/spieler/461484,461484,Frederik Ibsen,Goalkeeper,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,190,DK1
2019-20,FC Copenhagen,13,https://www.transfermarkt.co.uk/sten-grytebust/leistungsdatendetails/spieler/73417,73417,Sten Grytebust,Goalkeeper,29.0,51.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.79,,190,DK1
2019-20,FC Copenhagen,1,https://www.transfermarkt.co.uk/stephan-andersen/leistungsdatendetails/spieler/17880,17880,Stephan Andersen,Goalkeeper,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,190,DK1
2019-20,FC Copenhagen,34,https://www.transfermarkt.co.uk/victor-kristiansen/leistungsdatendetails/spieler/564529,564529,Victor Kristiansen,Left-Back,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,190,DK1
2019-20,FC Copenhagen,25,https://www.transfermarkt.co.uk/victor-nelsson/leistungsdatendetails/spieler/422951,422951,Victor Nelsson,Centre-Back,20.0,55.0,53.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.89,,190,DK1
2019-20,FC Copenhagen,2,https://www.transfermarkt.co.uk/guillermo-varela/leistungsdatendetails/spieler/188862,188862,Guillermo Varela,Right-Back,26.0,54.0,43.0,0.0,4.0,5.0,0.0,0.0,5.0,9.0,1.65,,190,DK1
2019-20,FC Copenhagen,17,https://www.transfermarkt.co.uk/karlo-bartolec/leistungsdatendetails/spieler/291947,291947,Karlo Bartolec,Right-Back,24.0,56.0,41.0,1.0,5.0,4.0,0.0,0.0,19.0,2.0,1.66,,190,DK1
2019-20,FC Copenhagen,44,https://www.transfermarkt.co.uk/jacob-haahr/leistungsdatendetails/spieler/514918,514918,Jacob Haahr,Centre-Back,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,190,DK1
2019-20,FC Copenhagen,4,https://www.transfermarkt.co.uk/sotirios-papagiannopoulos/leistungsdatendetails/spieler/97616,97616,Sotirios Papagiannopoulos,Centre-Back,28.0,54.0,41.0,0.0,0.0,3.0,0.0,0.0,9.0,1.0,1.85,,190,DK1
2019-20,FC Copenhagen,19,https://www.transfermarkt.co.uk/bryan-oviedo/leistungsdatendetails/spieler/124983,124983,Bryan Oviedo,Left-Back,29.0,38.0,24.0,0.0,3.0,3.0,0.0,0.0,13.0,5.0,1.88,,190,DK1
2019-20,FC Copenhagen,3,https://www.transfermarkt.co.uk/pierre-neurath-bengtsson/leistungsdatendetails/spieler/50577,50577,Pierre Neurath Bengtsson,Left-Back,31.0,51.0,47.0,1.0,6.0,2.0,0.0,0.0,7.0,8.0,1.72,,190,DK1
2019-20,FC Copenhagen,5,https://www.transfermarkt.co.uk/andreas-bjelland/leistungsdatendetails/spieler/56354,56354,Andreas Bjelland,Centre-Back,30.0,38.0,31.0,0.0,1.0,4.0,0.0,0.0,6.0,3.0,1.52,,190,DK1
2019-20,FC Copenhagen,20,https://www.transfermarkt.co.uk/nicolai-boilesen/leistungsdatendetails/spieler/69642,69642,Nicolai Boilesen,Left-Back,27.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.75,,190,DK1
2019-20,FC Copenhagen,27,https://www.transfermarkt.co.uk/ragnar-sigurdsson/leistungsdatendetails/spieler/46478,46478,Ragnar Sigurdsson,Centre-Back,33.0,9.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.00,,190,DK1
2019-20,FC Copenhagen,6,https://www.transfermarkt.co.uk/jens-stage/leistungsdatendetails/spieler/289835,289835,Jens Stage,Central Midfield,22.0,51.0,48.0,6.0,4.0,10.0,0.0,0.0,9.0,11.0,1.71,,190,DK1
2019-20,FC Copenhagen,16,https://www.transfermarkt.co.uk/pep-biel/leistungsdatendetails/spieler/263804,263804,Pep Biel,Attacking Midfield,22.0,49.0,41.0,5.0,5.0,0.0,1.0,0.0,13.0,24.0,1.76,,190,DK1
2019-20,FC Copenhagen,26,https://www.transfermarkt.co.uk/carlo-holse/leistungsdatendetails/spieler/345577,345577,Carlo Holse,Attacking Midfield,20.0,23.0,17.0,0.0,2.0,1.0,0.0,0.0,10.0,3.0,2.24,,190,DK1
2019-20,FC Copenhagen,29,https://www.transfermarkt.co.uk/robert-skov/leistungsdatendetails/spieler/270393,270393,Robert Skov,Left Midfield,23.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.00,,190,DK1
2019-20,FC Copenhagen,24,https://www.transfermarkt.co.uk/robert-mudrazija/leistungsdatendetails/spieler/339584,339584,Robert Mudrazija,Attacking Midfield,22.0,16.0,14.0,0.0,1.0,1.0,0.0,0.0,12.0,2.0,1.57,,190,DK1
2019-20,FC Copenhagen,33,https://www.transfermarkt.co.uk/rasmus-falk/leistungsdatendetails/spieler/89200,89200,Rasmus Falk,Central Midfield,27.0,48.0,48.0,2.0,4.0,5.0,1.0,1.0,2.0,28.0,1.69,,190,DK1
2019-20,FC Copenhagen,8,https://www.transfermarkt.co.uk/nicolaj-thomsen/leistungsdatendetails/spieler/201497,201497,Nicolaj Thomsen,Attacking Midfield,26.0,44.0,21.0,1.0,0.0,3.0,0.0,0.0,9.0,10.0,1.62,,190,DK1
2019-20,FC Copenhagen,10,https://www.transfermarkt.co.uk/zeca/leistungsdatendetails/spieler/131161,131161,Zeca,Central Midfield,30.0,54.0,54.0,3.0,3.0,11.0,0.0,0.0,4.0,1.0,1.85,,190,DK1
2019-20,FC Copenhagen,30,https://www.transfermarkt.co.uk/alexander-hjaelmhof/leistungsdatendetails/spieler/515015,515015,Alexander Hjaelmhof,Central Midfield,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,190,DK1
