Season,Team,#,Link,PLAYER_ID,Player Name,Position,Age,Appearences,Played Games,Goals,Assists,Yellow,Second Yellow,Red,Come From Bench,Substituted,PPG,Minute Played,TEAM_ID,League
2019-20,FC Barcelona,1,https://www.transfermarkt.co.uk/marc-andre-ter-stegen/leistungsdatendetails/spieler/74857,74857,Marc-André ter Stegen,Goalkeeper,27.0,49.0,46.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.09,,131,ES1
2019-20,FC Barcelona,26,https://www.transfermarkt.co.uk/inaki-pena/leistungsdatendetails/spieler/283170,283170,Iñaki Peña,Goalkeeper,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,131,ES1
2019-20,FC Barcelona,36,https://www.transfermarkt.co.uk/arnau-tenas/leistungsdatendetails/spieler/466783,466783,Arnau Tenas,Goalkeeper,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,131,ES1
2019-20,FC Barcelona,13,https://www.transfermarkt.co.uk/neto/leistungsdatendetails/spieler/111819,111819,Neto,Goalkeeper,29.0,42.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.00,,131,ES1
2019-20,FC Barcelona,33,https://www.transfermarkt.co.uk/ronald-araujo/leistungsdatendetails/spieler/480267,480267,Ronald Araujo,Centre-Back,20.0,19.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.00,,131,ES1
2019-20,FC Barcelona,6,https://www.transfermarkt.co.uk/jean-clair-todibo/leistungsdatendetails/spieler/605184,605184,Jean-Clair Todibo,Centre-Back,19.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.00,,131,ES1
2019-20,FC Barcelona,44,https://www.transfermarkt.co.uk/oscar-mingueza/leistungsdatendetails/spieler/331505,331505,Óscar Mingueza,Right-Back,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,131,ES1
2019-20,FC Barcelona,2,https://www.transfermarkt.co.uk/nelson-semedo/leistungsdatendetails/spieler/231572,231572,Nélson Semedo,Right-Back,25.0,46.0,42.0,1.0,6.0,5.0,0.0,0.0,8.0,6.0,2.02,,131,ES1
2019-20,FC Barcelona,24,https://www.transfermarkt.co.uk/junior-firpo/leistungsdatendetails/spieler/374139,374139,Junior Firpo,Left-Back,22.0,38.0,23.0,1.0,2.0,6.0,0.0,0.0,8.0,3.0,2.57,,131,ES1
2019-20,FC Barcelona,15,https://www.transfermarkt.co.uk/clement-lenglet/leistungsdatendetails/spieler/182904,182904,Clément Lenglet,Centre-Back,24.0,47.0,40.0,4.0,1.0,8.0,2.0,0.0,1.0,2.0,2.10,,131,ES1
