Season,Team,#,Link,PLAYER_ID,Player Name,Position,Age,Appearences,Played Games,Goals,Assists,Yellow,Second Yellow,Red,Come From Bench,Substituted,PPG,Minute Played,TEAM_ID,League
2019-20,Paris Saint-Germain,30,https://www.transfermarkt.co.uk/marcin-bulka/leistungsdatendetails/spieler/465955,465955,Marcin Bulka,Goalkeeper,19.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.00,,583,FR1
2019-20,Paris Saint-Germain,-,https://www.transfermarkt.co.uk/alphonse-areola/leistungsdatendetails/spieler/120629,120629,Alphonse Areola,Goalkeeper,26.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,,583,FR1
2019-20,Paris Saint-Germain,-,https://www.transfermarkt.co.uk/kevin-trapp/leistungsdatendetails/spieler/45672,45672,Kevin Trapp,Goalkeeper,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,583,FR1
2019-20,Paris Saint-Germain,16,https://www.transfermarkt.co.uk/sergio-rico/leistungsdatendetails/spieler/207302,207302,Sergio Rico,Goalkeeper,25.0,44.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.00,,583,FR1
2019-20,Paris Saint-Germain,1,https://www.transfermarkt.co.uk/keylor-navas/leistungsdatendetails/spieler/79422,79422,Keylor Navas,Goalkeeper,32.0,37.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.49,,583,FR1
2019-20,Paris Saint-Germain,40,https://www.transfermarkt.co.uk/garissone-innocent/leistungsdatendetails/spieler/460626,460626,Garissone Innocent,Goalkeeper,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,583,FR1
2019-20,Paris Saint-Germain,5,https://www.transfermarkt.co.uk/marquinhos/leistungsdatendetails/spieler/181767,181767,Marquinhos,Centre-Back,25.0,38.0,37.0,6.0,1.0,4.0,0.0,0.0,4.0,5.0,2.43,,583,FR1
2019-20,Paris Saint-Germain,4,https://www.transfermarkt.co.uk/thilo-kehrer/leistungsdatendetails/spieler/228948,228948,Thilo Kehrer,Centre-Back,22.0,25.0,21.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.86,,583,FR1
2019-20,Paris Saint-Germain,3,https://www.transfermarkt.co.uk/presnel-kimpembe/leistungsdatendetails/spieler/282041,282041,Presnel Kimpembe,Centre-Back,23.0,36.0,28.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,2.50,,583,FR1
2019-20,Paris Saint-Germain,22,https://www.transfermarkt.co.uk/abdou-diallo/leistungsdatendetails/spieler/229005,229005,Abdou Diallo,Centre-Back,23.0,35.0,23.0,0.0,1.0,4.0,0.0,0.0,5.0,4.0,2.61,,583,FR1
2019-20,Paris Saint-Germain,12,https://www.transfermarkt.co.uk/thomas-meunier/leistungsdatendetails/spieler/100986,100986,Thomas Meunier,Right-Back,27.0,33.0,27.0,1.0,3.0,8.0,0.0,0.0,3.0,5.0,2.52,,583,FR1
2019-20,Paris Saint-Germain,14,https://www.transfermarkt.co.uk/juan-bernat/leistungsdatendetails/spieler/126719,126719,Juan Bernat,Left-Back,26.0,34.0,32.0,2.0,7.0,9.0,0.0,0.0,4.0,6.0,2.44,,583,FR1
2019-20,Paris Saint-Germain,35,https://www.transfermarkt.co.uk/tanguy-nianzou/leistungsdatendetails/spieler/538996,538996,Tanguy Nianzou,Centre-Back,17.0,25.0,13.0,3.0,1.0,2.0,0.0,0.0,4.0,2.0,2.85,,583,FR1
2019-20,Paris Saint-Germain,36,https://www.transfermarkt.co.uk/loic-mbe-soh/leistungsdatendetails/spieler/463610,463610,Loïc Mbe Soh,Centre-Back,18.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"0,00",,583,FR1
2019-20,Paris Saint-Germain,20,https://www.transfermarkt.co.uk/layvin-kurzawa/leistungsdatendetails/spieler/126710,126710,Layvin Kurzawa,Left-Back,26.0,36.0,25.0,1.0,2.0,7.0,0.0,0.0,8.0,5.0,2.52,,583,FR1
2019-20,Paris Saint-Germain,-,https://www.transfermarkt.co.uk/arthur-zagre/leistungsdatendetails/spieler/536477,536477,Arthur Zagré,Left-Back,17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.00,,583,FR1
2019-20,Paris Saint-Germain,2,https://www.transfermarkt.co.uk/thiago-silva/leistungsdatendetails/spieler/29241,29241,Thiago Silva,Centre-Back,34.0,36.0,35.0,1.0,1.0,4.0,0.0,0.0,2.0,9.0,2.57,,583,FR1
2019-20,Paris Saint-Germain,31,https://www.transfermarkt.co.uk/colin-dagba/leistungsdatendetails/spieler/460629,460629,Colin Dagba,Right-Back,20.0,28.0,16.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,2.63,,583,FR1
