Season,Team,#,Link,PLAYER_ID,Player Name,Position,Age,Appearences,Played Games,Goals,Assists,Yellow,Second Yellow,Red,Come From Bench,Substituted,PPG,Minute Played,TEAM_ID,League
2019-20,Manchester City,31,https://www.transfermarkt.co.uk/ederson/leistungsdatendetails/spieler/238223,238223,Ederson,Goalkeeper,25.0,51.0,44.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.09,,281,GB1
2019-20,Manchester City,49,https://www.transfermarkt.co.uk/arijanet-muric/leistungsdatendetails/spieler/371021,371021,Arijanet Murić,Goalkeeper,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,281,GB1
2019-20,Manchester City,33,https://www.transfermarkt.co.uk/scott-carson/leistungsdatendetails/spieler/14555,14555,Scott Carson,Goalkeeper,33.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,281,GB1
2019-20,Manchester City,1,https://www.transfermarkt.co.uk/claudio-bravo/leistungsdatendetails/spieler/40423,40423,Claudio Bravo,Goalkeeper,36.0,50.0,17.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.35,,281,GB1
2019-20,Manchester City,5,https://www.transfermarkt.co.uk/john-stones/leistungsdatendetails/spieler/186590,186590,John Stones,Centre-Back,25.0,35.0,24.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,2.33,,281,GB1
2019-20,Manchester City,50,https://www.transfermarkt.co.uk/eric-garcia/leistungsdatendetails/spieler/466794,466794,Eric García,Centre-Back,18.0,36.0,20.0,0.0,1.0,1.0,0.0,0.0,5.0,3.0,2.4,,281,GB1
2019-20,Manchester City,-,https://www.transfermarkt.co.uk/taylor-harwood-bellis/leistungsdatendetails/spieler/503977,503977,Taylor Harwood-Bellis,Centre-Back,17.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,,281,GB1
2019-20,Manchester City,-,https://www.transfermarkt.co.uk/angelino/leistungsdatendetails/spieler/277179,277179,Angeliño,Left-Back,22.0,25.0,12.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,2.33,,281,GB1
2019-20,Manchester City,11,https://www.transfermarkt.co.uk/oleksandr-zinchenko/leistungsdatendetails/spieler/203853,203853,Oleksandr Zinchenko,Left-Back,22.0,37.0,25.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,2.2,,281,GB1
2019-20,Manchester City,24,https://www.transfermarkt.co.uk/tosin-adarabioyo/leistungsdatendetails/spieler/258878,258878,Tosin Adarabioyo,Centre-Back,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,281,GB1
2019-20,Manchester City,27,https://www.transfermarkt.co.uk/joao-cancelo/leistungsdatendetails/spieler/182712,182712,João Cancelo,Right-Back,25.0,53.0,33.0,1.0,1.0,5.0,0.0,0.0,8.0,1.0,2.27,,281,GB1
2019-20,Manchester City,14,https://www.transfermarkt.co.uk/aymeric-laporte/leistungsdatendetails/spieler/176553,176553,Aymeric Laporte,Centre-Back,25.0,22.0,20.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,2.3,,281,GB1
2019-20,Manchester City,2,https://www.transfermarkt.co.uk/kyle-walker/leistungsdatendetails/spieler/95424,95424,Kyle Walker,Right-Back,29.0,53.0,42.0,1.0,6.0,6.0,0.0,0.0,2.0,9.0,2.14,,281,GB1
2019-20,Manchester City,22,https://www.transfermarkt.co.uk/benjamin-mendy/leistungsdatendetails/spieler/157495,157495,Benjamin Mendy,Left-Back,24.0,42.0,30.0,0.0,4.0,6.0,0.0,0.0,3.0,7.0,2.4,,281,GB1
