Season,Team,#,Link,PLAYER_ID,Player Name,Position,Age,Appearences,Played Games,Goals,Assists,Yellow,Second Yellow,Red,Come From Bench,Substituted,PPG,Minute Played,TEAM_ID,League
2019-20,Bayern Munich,1,https://www.transfermarkt.co.uk/manuel-neuer/leistungsdatendetails/spieler/17259,17259,Manuel Neuer,Goalkeeper,33.0,52.0,51.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.55,,27,L1
2019-20,Bayern Munich,36,https://www.transfermarkt.co.uk/christian-fruchtl/leistungsdatendetails/spieler/336307,336307,Christian Früchtl,Goalkeeper,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,27,L1
2019-20,Bayern Munich,39,https://www.transfermarkt.co.uk/ron-thorben-hoffmann/leistungsdatendetails/spieler/317444,317444,Ron-Thorben Hoffmann,Goalkeeper,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,27,L1
2019-20,Bayern Munich,26,https://www.transfermarkt.co.uk/sven-ulreich/leistungsdatendetails/spieler/40680,40680,Sven Ulreich,Goalkeeper,30.0,52.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,,27,L1
2019-20,Bayern Munich,19,https://www.transfermarkt.co.uk/alphonso-davies/leistungsdatendetails/spieler/424204,424204,Alphonso Davies,Left-Back,18.0,51.0,43.0,3.0,8.0,4.0,1.0,0.0,6.0,4.0,2.58,,27,L1
2019-20,Bayern Munich,21,https://www.transfermarkt.co.uk/lucas-hernandez/leistungsdatendetails/spieler/281963,281963,Lucas Hernández,Left-Back,23.0,32.0,25.0,0.0,2.0,4.0,0.0,0.0,13.0,5.0,2.76,,27,L1
2019-20,Bayern Munich,5,https://www.transfermarkt.co.uk/benjamin-pavard/leistungsdatendetails/spieler/353366,353366,Benjamin Pavard,Centre-Back,23.0,49.0,47.0,4.0,7.0,6.0,0.0,0.0,3.0,1.0,2.57,,27,L1
2019-20,Bayern Munich,41,https://www.transfermarkt.co.uk/chris-richards/leistungsdatendetails/spieler/578539,578539,Chris Richards,Centre-Back,19.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,,27,L1
2019-20,Bayern Munich,4,https://www.transfermarkt.co.uk/niklas-sule/leistungsdatendetails/spieler/166601,166601,Niklas Süle,Centre-Back,23.0,17.0,16.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,2.25,,27,L1
2019-20,Bayern Munich,43,https://www.transfermarkt.co.uk/bright-arrey-mbi/leistungsdatendetails/spieler/580193,580193,Bright Arrey-Mbi,Centre-Back,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,27,L1
