Season,Team,#,Link,PLAYER_ID,Player Name,Position,Age,Appearences,Played Games,Goals,Assists,Yellow,Second Yellow,Red,Come From Bench,Substituted,PPG,Minute Played,TEAM_ID,League
2019-20,Ajax Amsterdam,24,https://www.transfermarkt.co.uk/andre-onana/leistungsdatendetails/spieler/234509,234509,André Onana,Goalkeeper,23.0,39.0,39.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.21,,610,NL1
2019-20,Ajax Amsterdam,33,https://www.transfermarkt.co.uk/dominik-kotarski/leistungsdatendetails/spieler/370997,370997,Dominik Kotarski,Goalkeeper,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,610,NL1
2019-20,Ajax Amsterdam,35,https://www.transfermarkt.co.uk/kjell-scherpen/leistungsdatendetails/spieler/463527,463527,Kjell Scherpen,Goalkeeper,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,610,NL1
2019-20,Ajax Amsterdam,1,https://www.transfermarkt.co.uk/bruno-varela/leistungsdatendetails/spieler/182722,182722,Bruno Varela,Goalkeeper,24.0,42.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,610,NL1
2019-20,Ajax Amsterdam,-,https://www.transfermarkt.co.uk/issam-el-maach/leistungsdatendetails/spieler/430475,430475,Issam El Maach,Goalkeeper,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,610,NL1
2019-20,Ajax Amsterdam,-,https://www.transfermarkt.co.uk/benjamin-van-leer/leistungsdatendetails/spieler/123520,123520,Benjamin van Leer,Goalkeeper,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,610,NL1
2019-20,Ajax Amsterdam,41,https://www.transfermarkt.co.uk/jurrien-timber/leistungsdatendetails/spieler/420243,420243,Jurriën Timber,Right-Back,18.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,,610,NL1
2019-20,Ajax Amsterdam,21,https://www.transfermarkt.co.uk/lisandro-martinez/leistungsdatendetails/spieler/480762,480762,Lisandro Martínez,Centre-Back,21.0,42.0,41.0,2.0,1.0,9.0,0.0,0.0,0.0,6.0,2.1,,610,NL1
2019-20,Ajax Amsterdam,12,https://www.transfermarkt.co.uk/noussair-mazraoui/leistungsdatendetails/spieler/340456,340456,Noussair Mazraoui,Right-Back,21.0,27.0,20.0,0.0,0.0,3.0,1.0,0.0,4.0,9.0,2.15,,610,NL1
2019-20,Ajax Amsterdam,28,https://www.transfermarkt.co.uk/sergino-dest/leistungsdatendetails/spieler/361104,361104,Sergiño Dest,Right-Back,18.0,41.0,35.0,2.0,6.0,3.0,0.0,0.0,8.0,3.0,2.2,,610,NL1
2019-20,Ajax Amsterdam,31,https://www.transfermarkt.co.uk/nicolas-tagliafico/leistungsdatendetails/spieler/131225,131225,Nicolás Tagliafico,Left-Back,26.0,38.0,38.0,5.0,7.0,10.0,0.0,0.0,1.0,2.0,2.03,,610,NL1
2019-20,Ajax Amsterdam,3,https://www.transfermarkt.co.uk/joel-veltman/leistungsdatendetails/spieler/111195,111195,Joël Veltman,Right-Back,27.0,32.0,30.0,0.0,0.0,5.0,1.0,0.0,1.0,2.0,2.17,,610,NL1
2019-20,Ajax Amsterdam,2,https://www.transfermarkt.co.uk/perr-schuurs/leistungsdatendetails/spieler/418543,418543,Perr Schuurs,Centre-Back,19.0,40.0,17.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.94,,610,NL1
2019-20,Ajax Amsterdam,-,https://www.transfermarkt.co.uk/lisandro-magallan/leistungsdatendetails/spieler/66736,66736,Lisandro Magallán,Centre-Back,25.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,,610,NL1
2019-20,Ajax Amsterdam,17,https://www.transfermarkt.co.uk/daley-blind/leistungsdatendetails/spieler/12282,12282,Daley Blind,Centre-Back,29.0,34.0,34.0,1.0,1.0,4.0,1.0,0.0,2.0,2.0,2.09,,610,NL1
