Season,Team,#,Link,PLAYER_ID,Player Name,Position,Age,Appearences,Played Games,Goals,Assists,Yellow,Second Yellow,Red,Come From Bench,Substituted,PPG,Minute Played,TEAM_ID,League
2019-20,Celtic,-,https://www.transfermarkt.co.uk/vasilios-barkas/leistungsdatendetails/spieler/248658,248658,Vasilios Barkas,Goalkeeper,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,371,SC1
2019-20,Celtic,67,https://www.transfermarkt.co.uk/fraser-forster/leistungsdatendetails/spieler/52570,52570,Fraser Forster,Goalkeeper,31.0,41.0,39.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.56,,371,SC1
2019-20,Celtic,-,https://www.transfermarkt.co.uk/conor-hazard/leistungsdatendetails/spieler/322770,322770,Conor Hazard,Goalkeeper,21.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.00,,371,SC1
2019-20,Celtic,29,https://www.transfermarkt.co.uk/scott-bain/leistungsdatendetails/spieler/85627,85627,Scott Bain,Goalkeeper,27.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,,371,SC1
2019-20,Celtic,1,https://www.transfermarkt.co.uk/craig-gordon/leistungsdatendetails/spieler/12589,12589,Craig Gordon,Goalkeeper,36.0,44.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50,,371,SC1
2019-20,Celtic,30,https://www.transfermarkt.co.uk/jeremie-frimpong/leistungsdatendetails/spieler/484547,484547,Jeremie Frimpong,Right-Back,18.0,25.0,21.0,2.0,3.0,4.0,0.0,1.0,3.0,3.0,2.67,,371,SC1
2019-20,Celtic,35,https://www.transfermarkt.co.uk/kristoffer-ajer/leistungsdatendetails/spieler/328658,328658,Kristoffer Ajer,Centre-Back,21.0,51.0,50.0,4.0,2.0,8.0,0.0,0.0,1.0,4.0,2.50,,371,SC1
2019-20,Celtic,3,https://www.transfermarkt.co.uk/greg-taylor/leistungsdatendetails/spieler/362562,362562,Greg Taylor,Left-Back,21.0,29.0,17.0,0.0,5.0,2.0,0.0,0.0,1.0,6.0,2.71,,371,SC1
2019-20,Celtic,4,https://www.transfermarkt.co.uk/jack-hendry/leistungsdatendetails/spieler/363223,363223,Jack Hendry,Centre-Back,24.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.00,,371,SC1
2019-20,Celtic,-,https://www.transfermarkt.co.uk/diego-laxalt/leistungsdatendetails/spieler/230552,230552,Diego Laxalt,Left-Back,26.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.00,,371,SC1
