Season,Team,#,Link,PLAYER_ID,Player Name,Position,Age,Appearences,Played Games,Goals,Assists,Yellow,Second Yellow,Red,Come From Bench,Substituted,PPG,Minute Played,TEAM_ID,League
2019-20,Galatasaray,34,https://www.transfermarkt.co.uk/okan-kocuk/leistungsdatendetails/spieler/204189,204189,Okan Kocuk,Goalkeeper,23.0,47.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.77,,141,TR1
2019-20,Galatasaray,1,https://www.transfermarkt.co.uk/fernando-muslera/leistungsdatendetails/spieler/58088,58088,Fernando Muslera,Goalkeeper,33.0,37.0,35.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.74,,141,TR1
2019-20,Galatasaray,12,https://www.transfermarkt.co.uk/batuhan-sen/leistungsdatendetails/spieler/352659,352659,Batuhan Şen,Goalkeeper,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,141,TR1
2019-20,Galatasaray,51,https://www.transfermarkt.co.uk/berk-balaban/leistungsdatendetails/spieler/546351,546351,Berk Balaban,Goalkeeper,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,141,TR1
2019-20,Galatasaray,40,https://www.transfermarkt.co.uk/emin-bayram/leistungsdatendetails/spieler/655902,655902,Emin Bayram,Centre-Back,16.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8,,141,TR1
2019-20,Galatasaray,45,https://www.transfermarkt.co.uk/marcao/leistungsdatendetails/spieler/439022,439022,Marcão,Centre-Back,23.0,39.0,39.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,1.51,,141,TR1
2019-20,Galatasaray,36,https://www.transfermarkt.co.uk/marcelo-saracchi/leistungsdatendetails/spieler/373916,373916,Marcelo Saracchi,Left-Back,21.0,15.0,15.0,2.0,4.0,6.0,0.0,0.0,1.0,3.0,1.73,,141,TR1
2019-20,Galatasaray,14,https://www.transfermarkt.co.uk/martin-linnes/leistungsdatendetails/spieler/137582,137582,Martin Linnes,Right-Back,27.0,24.0,16.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,1.75,,141,TR1
2019-20,Galatasaray,-,https://www.transfermarkt.co.uk/kaan-arslan/leistungsdatendetails/spieler/507162,507162,Kaan Arslan,Centre-Back,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,141,TR1
2019-20,Galatasaray,50,https://www.transfermarkt.co.uk/suleyman-lus/leistungsdatendetails/spieler/477932,477932,Süleyman Luş,Left-Back,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,141,TR1
2019-20,Galatasaray,22,https://www.transfermarkt.co.uk/mariano/leistungsdatendetails/spieler/54155,54155,Mariano,Right-Back,33.0,43.0,38.0,0.0,5.0,13.0,1.0,0.0,3.0,6.0,1.45,,141,TR1
2019-20,Galatasaray,55,https://www.transfermarkt.co.uk/yuto-nagatomo/leistungsdatendetails/spieler/79522,79522,Yuto Nagatomo,Left-Back,32.0,27.0,24.0,2.0,0.0,1.0,0.0,0.0,1.0,6.0,1.21,,141,TR1
2019-20,Galatasaray,3,https://www.transfermarkt.co.uk/emre-tasdemir/leistungsdatendetails/spieler/204201,204201,Emre Taşdemir,Left-Back,23.0,16.0,7.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,1.43,,141,TR1
