Season,Team,#,Link,PLAYER_ID,Player Name,Position,Age,Appearences,Played Games,Goals,Assists,Yellow,Second Yellow,Red,Come From Bench,Substituted,PPG,Minute Played,TEAM_ID,League
2019-20,Shakhtar Donetsk,81,https://www.transfermarkt.co.uk/anatoliy-trubin/leistungsdatendetails/spieler/537844,537844,Anatoliy Trubin,Goalkeeper,17.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,,660,UKR1
2019-20,Shakhtar Donetsk,54,https://www.transfermarkt.co.uk/yevgen-grytsenko/leistungsdatendetails/spieler/354715,354715,Yevgen Grytsenko,Goalkeeper,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,660,UKR1
2019-20,Shakhtar Donetsk,1,https://www.transfermarkt.co.uk/oleksiy-shevchenko/leistungsdatendetails/spieler/136537,136537,Oleksiy Shevchenko,Goalkeeper,27.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,,660,UKR1
2019-20,Shakhtar Donetsk,30,https://www.transfermarkt.co.uk/andriy-pyatov/leistungsdatendetails/spieler/39996,39996,Andriy Pyatov,Goalkeeper,35.0,41.0,37.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.22,,660,UKR1
2019-20,Shakhtar Donetsk,98,https://www.transfermarkt.co.uk/dodo/leistungsdatendetails/spieler/401529,401529,Dodô,Right-Back,20.0,36.0,34.0,3.0,6.0,3.0,1.0,0.0,6.0,1.0,2.21,,660,UKR1
2019-20,Shakhtar Donetsk,22,https://www.transfermarkt.co.uk/mykola-matvienko/leistungsdatendetails/spieler/289059,289059,Mykola Matvienko,Centre-Back,23.0,42.0,39.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.31,,660,UKR1
2019-20,Shakhtar Donetsk,49,https://www.transfermarkt.co.uk/vitao/leistungsdatendetails/spieler/428783,428783,Vitão,Centre-Back,19.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,,660,UKR1
2019-20,Shakhtar Donetsk,77,https://www.transfermarkt.co.uk/valeriy-bondar/leistungsdatendetails/spieler/396394,396394,Valeriy Bondar,Centre-Back,20.0,23.0,12.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,2.67,,660,UKR1
2019-20,Shakhtar Donetsk,31,https://www.transfermarkt.co.uk/ismaily/leistungsdatendetails/spieler/124028,124028,Ismaily,Left-Back,29.0,32.0,32.0,2.0,5.0,4.0,0.0,0.0,1.0,2.0,2.25,,660,UKR1
2019-20,Shakhtar Donetsk,4,https://www.transfermarkt.co.uk/sergiy-kryvtsov/leistungsdatendetails/spieler/74089,74089,Sergiy Kryvtsov,Centre-Back,28.0,40.0,37.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,2.11,,660,UKR1
2019-20,Shakhtar Donetsk,28,https://www.transfermarkt.co.uk/marquinhos-cipriano/leistungsdatendetails/spieler/569805,569805,Marquinhos Cipriano,Left-Back,20.0,19.0,12.0,1.0,1.0,2.0,0.0,0.0,3.0,5.0,2.42,,660,UKR1
2019-20,Shakhtar Donetsk,2,https://www.transfermarkt.co.uk/bogdan-butko/leistungsdatendetails/spieler/94922,94922,Bogdan Butko,Right-Back,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,660,UKR1
2019-20,Shakhtar Donetsk,5,https://www.transfermarkt.co.uk/davit-khocholava/leistungsdatendetails/spieler/165825,165825,Davit Khocholava,Centre-Back,26.0,28.0,16.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,1.69,,660,UKR1
2019-20,Shakhtar Donetsk,75,https://www.transfermarkt.co.uk/artem-bondarenko/leistungsdatendetails/spieler/537854,537854,Artem Bondarenko,Attacking Midfield,18.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,,660,UKR1
2019-20,Shakhtar Donetsk,8,https://www.transfermarkt.co.uk/marcos-antonio/leistungsdatendetails/spieler/468301,468301,Marcos Antônio,Central Midfield,19.0,40.0,31.0,3.0,2.0,4.0,1.0,0.0,12.0,9.0,2.32,,660,UKR1
2019-20,Shakhtar Donetsk,21,https://www.transfermarkt.co.uk/alan-patrick/leistungsdatendetails/spieler/104505,104505,Alan Patrick,Attacking Midfield,28.0,39.0,38.0,9.0,7.0,9.0,0.0,1.0,3.0,20.0,2.21,,660,UKR1
2019-20,Shakhtar Donetsk,76,https://www.transfermarkt.co.uk/oleksandr-pikhalyonok/leistungsdatendetails/spieler/294780,294780,Oleksandr Pikhalyonok,Central Midfield,22.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.6,,660,UKR1
2019-20,Shakhtar Donetsk,27,https://www.transfermarkt.co.uk/maycon/leistungsdatendetails/spieler/421935,421935,Maycon,Central Midfield,21.0,19.0,12.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,2.33,,660,UKR1
2019-20,Shakhtar Donetsk,20,https://www.transfermarkt.co.uk/viktor-kovalenko/leistungsdatendetails/spieler/203842,203842,Viktor Kovalenko,Attacking Midfield,23.0,31.0,27.0,2.0,1.0,3.0,0.0,0.0,13.0,7.0,2.3,,660,UKR1
2019-20,Shakhtar Donetsk,6,https://www.transfermarkt.co.uk/taras-stepanenko/leistungsdatendetails/spieler/59970,59970,Taras Stepanenko,Defensive Midfield,29.0,38.0,37.0,3.0,1.0,8.0,1.0,0.0,0.0,10.0,2.27,,660,UKR1
2019-20,Shakhtar Donetsk,17,https://www.transfermarkt.co.uk/maksym-malyshev/leistungsdatendetails/spieler/256213,256213,Maksym Malyshev,Defensive Midfield,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,660,UKR1
2019-20,Shakhtar Donetsk,19,https://www.transfermarkt.co.uk/manor-solomon/leistungsdatendetails/spieler/396638,396638,Manor Solomon,Left Winger,19.0,33.0,29.0,6.0,5.0,1.0,0.0,0.0,17.0,9.0,2.17,,660,UKR1
2019-20,Shakhtar Donetsk,14,https://www.transfermarkt.co.uk/tete/leistungsdatendetails/spieler/371256,371256,Tetê,Right Winger,19.0,41.0,34.0,9.0,5.0,4.0,0.0,0.0,12.0,11.0,2.24,,660,UKR1
2019-20,Shakhtar Donetsk,45,https://www.transfermarkt.co.uk/danylo-sikan/leistungsdatendetails/spieler/417228,417228,Danylo Sikan,Centre-Forward,18.0,18.0,8.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,1.88,,660,UKR1
2019-20,Shakhtar Donetsk,99,https://www.transfermarkt.co.uk/fernando/leistungsdatendetails/spieler/550495,550495,Fernando,Centre-Forward,20.0,14.0,10.0,1.0,1.0,0.0,0.0,0.0,7.0,3.0,2.3,,660,UKR1
2019-20,Shakhtar Donetsk,15,https://www.transfermarkt.co.uk/gustavo-blanco-leschuk/leistungsdatendetails/spieler/181006,181006,Gustavo Blanco Leschuk,Centre-Forward,27.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,,660,UKR1
2019-20,Shakhtar Donetsk,7,https://www.transfermarkt.co.uk/taison/leistungsdatendetails/spieler/76028,76028,Taison,Left Winger,31.0,39.0,38.0,11.0,10.0,6.0,0.0,1.0,4.0,8.0,2.21,,660,UKR1
2019-20,Shakhtar Donetsk,23,https://www.transfermarkt.co.uk/andriy-boryachuk/leistungsdatendetails/spieler/203854,203854,Andriy Boryachuk,Centre-Forward,23.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.33,,660,UKR1
2019-20,Shakhtar Donetsk,23,https://www.transfermarkt.co.uk/vladyslav-vakula/leistungsdatendetails/spieler/526578,526578,Vladyslav Vakula,Left Winger,20.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,,660,UKR1
2019-20,Shakhtar Donetsk,9,https://www.transfermarkt.co.uk/dentinho/leistungsdatendetails/spieler/52787,52787,Dentinho,Centre-Forward,30.0,33.0,15.0,2.0,1.0,4.0,0.0,0.0,11.0,2.0,1.93,,660,UKR1
2019-20,Shakhtar Donetsk,10,https://www.transfermarkt.co.uk/junior-moraes/leistungsdatendetails/spieler/52915,52915,Júnior Moraes,Centre-Forward,32.0,42.0,41.0,26.0,12.0,8.0,0.0,0.0,4.0,13.0,2.27,,660,UKR1
2019-20,Shakhtar Donetsk,11,https://www.transfermarkt.co.uk/marlos/leistungsdatendetails/spieler/68778,68778,Marlos,Right Winger,31.0,39.0,36.0,13.0,8.0,4.0,1.0,0.0,8.0,17.0,2.14,,660,UKR1
2019-20,Shakhtar Donetsk,12,https://www.transfermarkt.co.uk/wellington-nem/leistungsdatendetails/spieler/121988,121988,Wellington Nem,Right Winger,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,660,UKR1
2019-20,Shakhtar Donetsk,15,https://www.transfermarkt.co.uk/yevgen-konoplyanka/leistungsdatendetails/spieler/58949,58949,Yevgen Konoplyanka,Left Winger,29.0,33.0,30.0,5.0,5.0,1.0,0.0,0.0,13.0,11.0,2.1,,660,UKR1
2019-20,Shakhtar Donetsk,50,https://www.transfermarkt.co.uk/sergiy-bolbat/leistungsdatendetails/spieler/264063,264063,Sergiy Bolbat,Right Winger,26.0,38.0,23.0,0.0,2.0,4.0,0.0,0.0,4.0,10.0,2.13,,660,UKR1
2019-20,Shakhtar Donetsk,91,https://www.transfermarkt.co.uk/mykhaylo-mudryk/leistungsdatendetails/spieler/537860,537860,Mykhaylo Mudryk,Left Winger,18.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.33,,660,UKR1
2019-20,Dynamo Kyiv,1,https://www.transfermarkt.co.uk/georgiy-bushchan/leistungsdatendetails/spieler/206888,206888,Georgiy Bushchan,Goalkeeper,25.0,45.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.93,,338,UKR1
